user_id,event_date,event_type
20,01/01/2022 00:00,feature_C
98,01/01/2022 01:00,feature_A
32,01/01/2022 02:00,feature_A
60,01/01/2022 03:00,feature_A
78,01/01/2022 04:00,feature_A
81,01/01/2022 05:00,login
13,01/01/2022 06:00,feature_A
93,01/01/2022 07:00,feature_A
72,01/01/2022 08:00,feature_C
80,01/01/2022 09:00,feature_A
1,01/01/2022 10:00,feature_A
51,01/01/2022 11:00,feature_C
99,01/01/2022 12:00,feature_C
9,01/01/2022 13:00,feature_A
75,01/01/2022 14:00,feature_C
2,01/01/2022 15:00,feature_C
75,01/01/2022 16:00,feature_A
64,01/01/2022 17:00,feature_C
12,01/01/2022 18:00,feature_B
9,01/01/2022 19:00,feature_B
79,01/01/2022 20:00,login
68,01/01/2022 21:00,feature_B
6,01/01/2022 22:00,feature_C
49,01/01/2022 23:00,feature_C
94,02/01/2022 00:00,feature_C
53,02/01/2022 01:00,feature_B
67,02/01/2022 02:00,login
3,02/01/2022 03:00,feature_C
69,02/01/2022 04:00,feature_A
74,02/01/2022 05:00,feature_C
18,02/01/2022 06:00,login
32,02/01/2022 07:00,login
98,02/01/2022 08:00,feature_A
59,02/01/2022 09:00,login
71,02/01/2022 10:00,feature_A
86,02/01/2022 11:00,feature_C
90,02/01/2022 12:00,feature_A
10,02/01/2022 13:00,feature_B
53,02/01/2022 14:00,feature_C
21,02/01/2022 15:00,feature_C
23,02/01/2022 16:00,feature_A
67,02/01/2022 17:00,feature_C
42,02/01/2022 18:00,feature_A
86,02/01/2022 19:00,feature_C
61,02/01/2022 20:00,login
37,02/01/2022 21:00,feature_C
61,02/01/2022 22:00,feature_B
11,02/01/2022 23:00,feature_B
100,03/01/2022 00:00,feature_A
84,03/01/2022 01:00,feature_B
29,03/01/2022 02:00,feature_C
48,03/01/2022 03:00,feature_C
99,03/01/2022 04:00,login
23,03/01/2022 05:00,feature_B
12,03/01/2022 06:00,feature_C
36,03/01/2022 07:00,feature_C
45,03/01/2022 08:00,login
40,03/01/2022 09:00,feature_A
71,03/01/2022 10:00,feature_A
91,03/01/2022 11:00,login
21,03/01/2022 12:00,login
32,03/01/2022 13:00,feature_B
84,03/01/2022 14:00,feature_C
91,03/01/2022 15:00,feature_C
45,03/01/2022 16:00,feature_C
93,03/01/2022 17:00,feature_C
9,03/01/2022 18:00,login
83,03/01/2022 19:00,login
81,03/01/2022 20:00,feature_B
2,03/01/2022 21:00,feature_C
12,03/01/2022 22:00,feature_A
96,03/01/2022 23:00,feature_C
84,04/01/2022 00:00,feature_A
97,04/01/2022 01:00,feature_C
43,04/01/2022 02:00,feature_B
93,04/01/2022 03:00,login
69,04/01/2022 04:00,feature_C
61,04/01/2022 05:00,feature_C
22,04/01/2022 06:00,feature_A
51,04/01/2022 07:00,feature_B
20,04/01/2022 08:00,login
67,04/01/2022 09:00,feature_C
93,04/01/2022 10:00,login
64,04/01/2022 11:00,login
87,04/01/2022 12:00,feature_C
8,04/01/2022 13:00,feature_B
68,04/01/2022 14:00,feature_B
48,04/01/2022 15:00,feature_B
