user_id,signup_date,country,plan,subscription_status,revenue,churn_date
1,01/01/2022,USA,free,free,0,
2,02/01/2022,India,free,free,0,
3,03/01/2022,USA,pro,paid,50,
4,04/01/2022,India,pro,paid,50,
5,05/01/2022,USA,basic,paid,20,
6,06/01/2022,USA,basic,paid,20,01/06/2022
7,07/01/2022,USA,free,free,0,
8,08/01/2022,Canada,basic,paid,20,
9,09/01/2022,USA,basic,paid,20,
10,10/01/2022,UK,basic,paid,20,
11,11/01/2022,USA,basic,paid,20,02/06/2022
12,12/01/2022,India,free,free,0,
13,13/01/2022,India,free,free,0,03/06/2022
14,14/01/2022,UK,free,free,0,
15,15/01/2022,India,basic,paid,20,
16,16/01/2022,UK,free,free,0,
17,17/01/2022,USA,free,free,0,
18,18/01/2022,Canada,basic,paid,20,
19,19/01/2022,Canada,free,free,0,04/06/2022
20,20/01/2022,Canada,basic,paid,20,
21,21/01/2022,USA,pro,paid,50,
22,22/01/2022,UK,free,free,0,
23,23/01/2022,India,free,free,0,
24,24/01/2022,UK,basic,paid,20,05/06/2022
25,25/01/2022,USA,free,free,0,
26,26/01/2022,USA,free,free,0,06/06/2022
27,27/01/2022,UK,free,free,0,
28,28/01/2022,Canada,basic,paid,20,
29,29/01/2022,UK,free,free,0,
30,30/01/2022,India,basic,paid,20,
31,31/01/2022,USA,pro,paid,50,
32,01/02/2022,India,free,free,0,07/06/2022
33,02/02/2022,India,basic,paid,20,
34,03/02/2022,UK,free,free,0,
35,04/02/2022,UK,basic,paid,20,
36,05/02/2022,Canada,pro,paid,50,
37,06/02/2022,India,free,free,0,
38,07/02/2022,Canada,free,free,0,
39,08/02/2022,Canada,pro,paid,50,
40,09/02/2022,India,pro,paid,50,
41,10/02/2022,USA,basic,paid,20,08/06/2022
42,11/02/2022,Canada,basic,paid,20,
43,12/02/2022,Canada,pro,paid,50,09/06/2022
44,13/02/2022,UK,free,free,0,
45,14/02/2022,India,basic,paid,20,
46,15/02/2022,Canada,pro,paid,50,
47,16/02/2022,UK,free,free,0,
48,17/02/2022,India,free,free,0,10/06/2022
49,18/02/2022,USA,free,free,0,
50,19/02/2022,USA,pro,paid,50,
51,20/02/2022,USA,basic,paid,20,
52,21/02/2022,India,free,free,0,11/06/2022
53,22/02/2022,India,free,free,0,
54,23/02/2022,UK,basic,paid,20,
55,24/02/2022,Canada,basic,paid,20,12/06/2022
56,25/02/2022,UK,basic,paid,20,
57,26/02/2022,Canada,basic,paid,20,
58,27/02/2022,USA,free,free,0,
59,28/02/2022,India,basic,paid,20,13/06/2022
60,01/03/2022,India,basic,paid,20,
61,02/03/2022,USA,basic,paid,20,14/06/2022
62,03/03/2022,Canada,pro,paid,50,
63,04/03/2022,UK,pro,paid,50,
64,05/03/2022,India,free,free,0,
65,06/03/2022,Canada,basic,paid,20,
66,07/03/2022,USA,basic,paid,20,
67,08/03/2022,India,free,free,0,
68,09/03/2022,USA,free,free,0,
69,10/03/2022,Canada,free,free,0,
70,11/03/2022,Canada,free,free,0,15/06/2022
71,12/03/2022,UK,pro,paid,50,16/06/2022
72,13/03/2022,UK,free,free,0,17/06/2022
73,14/03/2022,UK,free,free,0,18/06/2022
74,15/03/2022,Canada,free,free,0,
75,16/03/2022,Canada,basic,paid,20,19/06/2022
76,17/03/2022,India,free,free,0,20/06/2022
77,18/03/2022,USA,free,free,0,
78,19/03/2022,UK,basic,paid,20,21/06/2022
79,20/03/2022,Canada,free,free,0,
80,21/03/2022,UK,free,free,0,
81,22/03/2022,USA,free,free,0,
82,23/03/2022,Canada,basic,paid,20,
83,24/03/2022,India,pro,paid,50,22/06/2022
84,25/03/2022,UK,free,free,0,
85,26/03/2022,USA,basic,paid,20,
86,27/03/2022,Canada,basic,paid,20,
87,28/03/2022,India,basic,paid,20,
88,29/03/2022,Canada,free,free,0,
89,30/03/2022,India,free,free,0,
90,31/03/2022,USA,free,free,0,
91,01/04/2022,Canada,pro,paid,50,23/06/2022
92,02/04/2022,Canada,free,free,0,24/06/2022
93,03/04/2022,UK,basic,paid,20,
94,04/04/2022,Canada,free,free,0,
95,05/04/2022,UK,free,free,0,25/06/2022
96,06/04/2022,Canada,basic,paid,20,26/06/2022
97,07/04/2022,Canada,basic,paid,20,
98,08/04/2022,USA,free,free,0,
99,09/04/2022,Canada,free,free,0,
100,10/04/2022,UK,basic,paid,20,
